sampels,sampels_1,BPA_ID,Sample Site,Depth_BIN,Depth_MLD,Depth,Water.mass,Latitude (decimal degrees),Depth (m),T,S,O2,Si,NO3,NO2,PO4,NH4,Chl c3,Chl c2,Chl c1,Chlide a,Phide a,Perid,But-fuco,Fuco,Neo,Pras,Viola,Hex-fuco,Astax,Diadino,Allo,Diato,Zea,Lut,DV chl b,Chl b,DV Chl a,Tot. MV Chl a,carotene mix,Micro,Nano,Pico,T.Pig,PON_nmol.L,POC_nmol.L,d15N,d13C,C:N,NO3.Up,NH4.Up,P.P.,N2_Fix,C_ug.L,N_ug.L,Domint WM Category,Secondary WM Category,Stn_nbr,Depth_m,Longitude,SW,PEW,EQ13W,SAMW,AAIW,UCDW,LCDW,NPDW,AABW,total%,Date sampled (YYYY-MM-DD),Time sampled (hh:mm),Subset,SubsetDepth,Longitude (decimal degrees),GO_SHIPS_CTD_no,Bottom depth,Pressure bottle,number,ID,NCBI_Submission,NCBI Sample Accession,Organism,Tax ID,Sampleme_depth,NCBI BioProject,DayLength,Stratificaiton..Tsurface.Tsample.,NRS_Location_code; Voyage_code,geo_loc (country:subregion),Oxygen (_mol/L) Lab,Chlf: CTD,Salinity [PSU] Lab,Biomass (mg/m3),Microplankotn,noplankton,Picoplankton,d13C,Total CO2 (_mol/kg),Total alkalinity (_mol/kg),"Total Bacteria
 (cells/mL)","Bacteria and Not Phototrophs
 (cells/mL)"
G34443,P15S_8236,34443,8236,1,1,SFC,SPSG,-28.50127,3.8,22.07,35.856,216.6,0.13,0.01,0.01,0.02,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASW,AAIW,32,22.7,-170.01193,0.102,0.283,0.064,0.199,0.287,0.055,0,0,0,0.99,42507,0.772916667,1,0,-170.01193,32,4739,22.7,177,102.100.100/34394,FALSE,,,,,,520,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,280.3,0.19,34.3417,,,,,,2036.7,2351.3,,
G34444,P15S_8436,34444,8436,1,1,SFC,SPSG,-27.26607,7.4,22.051,35.843,219.7,,,,,0.001,0.003,0.004,0.001,0,0,0,0.006,0.003,0,0,0,0.009,0,0.003,0,0,0.035,0,0,0,0.039,0.032,0.007,0.091121575,0.040345823,0.851241535,1.125,336.2976814,2775.366664,1.164934524,23.64793126,8.252708293,123.1458102,253.9571731,141.5044,18.85642,33.30439997,4.70816754,AAIW,SAMW,32,34.5,-170.01745,0.092,0.265,0.06,0.256,0.268,0.05,0,0,0,0.991,42507,0.613194444,1,0,-170.01745,32,4739,34.5,581,102.100.100/37035,TRUE,SAMN08218832,marine metagenome,408172,102.100.100/37035_34,PRJ385736,520,-0.006,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,280.1,0.18,34.3443,,,,,-23.64793126,2037.2,2352.1,3.40E+05,2.60E+05
G34445,P15S_8536,34445,8536,1,1,SFC,SPSG,-26.48152,5.8,21.938,35.874,219.2,0.2,0.01,0.001,0.03,0.001,0.003,0.004,0.002,0,0,0,0.006,0.004,0,0,0,0.009,0,0.003,0,0,0.037,0,0,0,0.037,0.081,0.006,0.112191944,0.038642447,0.83260456,1.176,380.588248,3132.820708,1.506637023,23.93104579,8.23152245,34.88538952,203.9805605,138.8667713,23.44568333,37.59384849,5.328235472,SAMW,AAIW,32,62.4,-170.01745,0.07,0.222,0.051,0.39,0.222,0,0,0,0,0.955,42507,0.613194444,1,0,-170.01745,32,4739,62.4,580,102.100.100/37034,TRUE,SAMN08218831,marine metagenome,408172,102.100.100/37034_62,PRJ385736,520,-0.037,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,279.9,0.36,34.3466,,,,,-23.93104579,2036,2352.2,3.20E+05,2.40E+05
G34446,P15S_8636,34446,8636,1,1,SFC,SPSG,-25.98407,5.1,23.41,35.693,213.4,0.25,0.005,0.001,0.05,0.001,0.003,0.004,0.003,0,0,0,0.006,0.003,0,0,0,0.012,0,0.003,0,0,0.035,0,0,0,0.039,0.037,0.009,0.07581611,0.039737141,0.867416546,1.136,380.588248,3132.820708,1.506637023,23.93104579,8.23152245,57.76629668,336.6232595,141.2990139,22.50419,37.59384849,5.328235472,AAIW,SAMW,33,39.4,-170.01015,0.086,0.249,0.056,0.296,0.258,0,0,0,0,0.945,42507,0.903472222,1,0,-170.01015,33,5246,39.4,587,102.100.100/37041,TRUE,SAMN08218838,marine metagenome,408172,102.100.100/37041_39,PRJ385736,523,-0.018,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,284.6,0.42,34.2751,,,,,-23.93104579,2013.2,2343.3,3.60E+05,2.70E+05
G34447,P15S_8736,34447,8736,1,1,SFC,SPSG,-25.49173,3.4,23.481,35.689,212.5,0.36,0.005,0.01,0.05,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,AAIW,33,62.8,-170.01015,0.069,0.223,0.051,0.391,0.221,0,0,0,0,0.955,42507,0.903472222,1,0,-170.01015,33,5246,62.8,586,102.100.100/37040,TRUE,SAMN08218837,marine metagenome,408172,102.100.100/37040_62,PRJ385736,523,-0.023,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,284.7,0.5,34.2752,,,,,,2012.7,2341.3,,
G34448,P15S_8836,34448,8836,1,1,SFC,SPSG,-24.99308,4.3,23.211,31.522,218.6,0.24,0.005,0.01,0.03,0.03,0.005,0.005,0.003,0,0,0,0.007,0.004,0,0,0,0.015,0,0.004,0,0,0.037,0,0,0,0.051,0.043,0.009,0.084793661,0.040206327,0.85776873,1.166,343.4462061,2888.7981,0.498902538,24.0852825,8.411209815,153.1914854,636.692051,166.2807707,32.04402,34.6655772,4.808246886,SASW,AAIW,33,10.7,-170.01567,0.106,0.281,0.062,0.179,0.304,0.057,0,0,0,0.99,42507,0.06875,1,0,-170.01567,33,5246,10.7,178,102.100.100/34395,FALSE,,,,,,523,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,284.8,0.91,34.2711,0.2508,,,,-24.0852825,2015.9,2343.6,,
G34449,P15S_8936,34449,8936,1,1,SFC,SPSG,-24.4992,5.3,23.192,35.757,214.5,0.48,0.005,0.001,0.03,0.068,0.004,0.005,0.003,0,0,0,0.007,0.004,0,0,0,0.014,0,0.004,0,0,0.039,0,0,0,0.044,0.041,0.01,0.095839358,0.042085008,0.844039202,1.156,393.433272,3242.203204,0.633117438,24.24837183,8.240795668,67.41151522,595.7942915,111.0778286,21.30679,38.90643844,5.508065808,SASW,AAIW,34,6.3,-170.01602,0.107,0.407,0.079,0,0.374,0,0,0,0,0.967,42508,0.348611111,2,0,-170.01602,34,5034,6.3,179,102.100.100/34396,FALSE,,,,,,527,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,276.2,0.81,34.3321,0.2288,,,,-24.24837183,2020.6,2346.3,3.70E+05,2.90E+05
G34450,P15S_9036,34450,9036,1,1,SFC,SPSG,-23.99563,3.9,23.235,35.782,214.3,0.36,0.005,0.001,0.06,0.034,0.002,0.004,0,0,0,0,0.004,0.002,0,0,0,0.008,0,0.003,0,0,0.029,0,0,0,0.022,0.025,0.005,0.075418429,0.030635059,0.8808172,1.09,333.4377454,3178.709722,2.131296642,23.72912654,9.533143039,95.90986271,204.7784991,100.4461434,20.089375,38.14451666,4.668128436,AAIW,SAMW,34,48.9,-170.000117,0.095,0.329,0.074,0.14,0.307,0,0,0,0,0.945,42508,0.194444444,2,0,-170.000117,34,5034,48.9,593,102.100.100/37047,TRUE,SAMN08218844,marine metagenome,408172,102.100.100/37047_48,PRJ385736,527,-0.015,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,276.2,0.32,34.3326,,,,,-23.72912654,2020.7,2347.4,3.00E+05,2.40E+05
G34451,P15S_9136,34451,9136,1,1,SFC,SPSG,-23.50337,5.6,24.147,35.653,210.9,0.38,0.005,0.001,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,AAIW,34,98.3,-170.000117,0.064,0.222,0,0.417,0.209,0,0,0,0,0.912,42508,0.194444444,2,0,-170.000117,34,5034,98.3,592,102.100.100/37046,TRUE,SAMN08218843,marine metagenome,408172,102.100.100/37046_98,PRJ385736,527,0.951,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,276,0.06,34.32,,,,,,2007.2,2340,,
G34452,P15S_9236,34452,9236,1,1,SFC,SPSG,-22.99507,6.3,24.792,35.662,208.2,0.51,0.005,0.001,0.12,0.015,0.003,0.005,0.002,0,0,0,0.005,0.002,0,0,0,0.012,0,0.003,0,0,0.042,0,0,0,0.042,0.042,0.008,0.054424398,0.030898436,0.90143498,1.152,393.433272,3284.503061,1.908607649,23.67606803,8.34831036,102.385923,659.8943619,131.3485117,19.89575,39.41403673,5.508065808,SASW,AAIW,35,12.1,-169.98953,0.141,0.321,0.053,0,0.452,0,0,0,0,0.967,42508,0.673611111,2,0,-169.98953,35,5382,12.1,180,102.100.100/34397,FALSE,,,,,,531,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,269.8,0.5,34.4568,,,,,-23.67606803,2005.3,2342.4,,
G34453,P15S_9336,34453,9336,1,1,SFC,SPSG,-22.49923,6.3,24.675,35.679,208.4,0.22,0.005,0.001,0.11,0.014,0.007,0.007,0.002,0,0,0,0.007,0.004,0,0,0,0.016,0,0.004,0,0,0.045,0,0.005,0.005,0.055,0.047,0.011,0.074223083,0.096728502,0.814940704,1.199,370.5934652,3309.167215,1.197427677,24.00859711,8.92937282,79.58724056,609.2814386,123.7453752,24.38242,39.71000658,5.188308513,AAIW,SAMW,35,36.6,-169.99245,0.135,0.315,0.072,0,0.387,0,0,0,0,0.908,42508,0.498611111,2,0,-169.99245,35,5382,36.6,599,102.100.100/37053,TRUE,SAMN08218850,marine metagenome,408172,102.100.100/37053_36,PRJ385736,531,0.002,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,269.9,0.77,34.4561,,,,,-24.00859711,2006.4,2345.4,,
G34454,P15S_9436,34454,9436,1,1,SFC,SPSG,-22.00178,4.1,24.404,35.675,210.4,0.19,0.005,0.001,0.08,0.014,0.005,0.007,0.001,0,0,0,0.007,0.003,0,0,0,0.016,0,0.003,0,0,0.043,0,0.006,0.005,0.05,0.041,0.01,0.06241526,0.102893532,0.8201165,1.182,420.5305541,3541.325088,1.997083618,23.79559957,8.421088678,56.51759737,481.5936781,119.8398823,30.53322,42.49590106,5.887427758,SAMW,AAIW,35,85.8,-169.99245,0.063,0.243,0.055,0.407,0.206,0,0,0,0,0.974,42508,0.498611111,2,0,-169.99245,35,5382,85.8,598,102.100.100/37052,TRUE,SAMN08218849,marine metagenome,408172,102.100.100/37052_85,PRJ385736,531,1.386,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,275.8,0.44,34.3269,,,,,-23.79559957,2008.2,2345.3,,
G34455,P15S_9536,34455,9536,1,1,SFC,SPSG,-21.50073,5.7,24.472,32.834,211,0.21,0.005,0.01,0.08,0.016,0.004,0.006,0.003,0,0,0,0.006,0.003,0,0,0,0.014,0,0.002,0,0,0.036,0,0.007,0.004,0.06,0.045,0.01,0.066798617,0.099321663,0.818369567,1.185,317.7027241,2825.013309,1.073484833,23.95594766,8.892002159,55.54043099,358.4140607,137.5474203,28.15867,33.90015971,4.447838138,SAMW,AAIW,36,19.2,-170.0165,0.06,0.268,0.061,0.39,0.205,0,0,0,0,0.983,42508,0.802777778,2,0,-170.0165,36,5214,41.3,605,102.100.100/37059,TRUE,SAMN08218856,marine metagenome,408172,102.100.100/37059_19,PRJ385736,532,0.029,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,279,0.83,34.2877,,,,,-23.95594766,2009.2,2343.3,3.50E+05,2.80E+05
G34456,P15S_9636,34456,9636,1,1,SFC,SPSG,-20.99733,5.5,24.965,35.622,208.1,0.28,0.005,0.001,0.11,0.015,0.003,0.005,0.002,0,0,0,0.006,0.003,0,0,0,0.013,0,0.002,0,0,0.038,0,0.006,0.002,0.049,0.047,0.01,0.081736366,0.074784457,0.827859084,1.172,430.5069244,3541.325088,2.429930233,23.83738051,8.225942227,44.98854518,364.2756124,139.5422344,34.19613,42.49590106,6.027096941,SAMW,AAIW,36,63.2,-170.0165,0.058,0.266,0.06,0.401,0.2,0,0,0,0,0.984,42508,0.802777778,2,0,-170.0165,36,5214,63.2,604,102.100.100/37058,TRUE,SAMN08218855,marine metagenome,408172,102.100.100/37058_63,PRJ385736,532,0.07,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,279.1,0.79,34.2835,,,,,-23.83738051,2002.6,2341.9,,
G34457,P15S_9736,34457,9736,1,1,SFC,SPSG,-20.50315,4.3,25.524,35.568,205.6,0.37,0.005,0.001,0.13,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.82307,,,SASW,SAMW,36,14.5,-170.01575,0.062,0.27,0.061,0.377,0.211,0,0,0,0,0.982,42508,0.976388889,2,0,-170.01575,36,5214,14.5,181,102.100.100/34398,FALSE,,,,,,532,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,278.7,0.74,34.2934,0.3117,,,,,2000.1,2338,,
G34458,P15S_9836,34458,9836,1,1,SFC,SPSG,-19.99822,4.3,25.394,35.638,206.9,0.22,0.005,0.01,0.11,0.015,0.003,0.005,0.003,0,0,0,0.003,0.003,0,0,0,0.009,0,0.002,0,0,0.039,0,0.006,0.004,0.056,0.031,0.009,0.073419807,0.088433359,0.828719889,1.163,294.7991873,2895.882062,2.730966658,24.12001595,9.823236246,102.6073429,464.5804091,138.7712116,20.42665,34.75058475,4.127188623,SASW,AAIW,37,8.4,-170.00487,0.106,0.275,0,0.212,0.362,0,0,0,0,0.954,42509,0.256944444,2,0,-170.00487,37,5267,8.4,182,102.100.100/34399,FALSE,,,,,,536,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,270.6,0.2,34.5009,0.2836,,,,-24.12001595,2002.9,2342.1,,
G34459,P15S_9936,34459,9936,1,1,SFC,SPSG,-19.49528,4.9,25.239,35.688,207.5,0.29,0.005,0.001,0.12,0.026,0.002,0.004,0.001,0,0,0,0.003,0.002,0,0,0,0.007,0,0.003,0,0,0.037,0,0.005,0.003,0.034,0.023,0.006,0.047041431,0.084808533,0.858100183,1.121,725.2672131,3185.767142,6.991615544,24.32503696,4.392542617,46.76828523,568.5722698,102.4884054,19.93905,38.22920571,10.15374098,SAMW,AAIW,37,50.4,-170.0036,0.075,0.27,0,0.331,0.26,0,0,0,0,0.936,42509,0.11875,2,0,-170.0036,37,5267,50.4,611,102.100.100/37065,TRUE,SAMN08218862,marine metagenome,408172,102.100.100/37065_50,PRJ385736,536,0.003,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,270.4,,34.501,,,,,-24.32503696,2009,2346,,
G34460,P15S_10036,34460,10036,1,1,SFC,SPSG,-19.0012,4.7,25.294,35.702,207.2,0.3,0.005,0.01,0.14,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,AAIW,37,76.6,-170.0036,0.056,0.267,0.06,0.405,0.197,0,0,0,0,0.985,42509,0.11875,2,0,-170.0036,37,5267,76.6,610,102.100.100/37064,TRUE,SAMN08218861,marine metagenome,408172,102.100.100/37064_76,PRJ385736,536,0.054,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,270.3,0.17,34.4913,,,,,,2009.2,2347.6,,
G34461,P15S_10136,34461,10136,1,1,SFC,SPSG,-18.50122,4.3,26.195,35.484,204,0.28,0.005,0.001,0.14,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASW,SAMW,38,6.7,-170.00367,0.079,0.276,0.056,0.321,0.25,0,0,0,0,0.981,42509,0.546527778,2,0,-170.00367,38,5306,6.7,183,102.100.100/34400,FALSE,,,,,,539,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,268.6,0.36,34.5393,0.3031,,,,,1990,2333.8,,
G34462,P15S_10236,34462,10236,1,1,SFC,SPSG,-17.9986,5,26.505,35.47,203.2,0.37,0.01,0.001,0.15,0.013,0,0.003,0.002,0,0,0,0.003,0.001,0,0,0,0.006,0,0.002,0,0,0.033,0,0,0,0.023,0.016,0.004,0.046581414,0.023725473,0.919525053,1.082,393.433272,2626.236408,6.596905777,24.09748314,6.675176186,318.9033215,541.84754,81.69709049,15.2179,31.5148369,5.508065808,SASW,SAMW,38,35,-170.000417,0.068,0.271,0.058,0.362,0.223,0,0,0,0,0.983,42509,0.394444444,2,0,-170.000417,38,5306,34.6,455,102.100.100/34672,FALSE,,,,,,539,0.057,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,268.5,0.21,34.5342,,,,,-24.09748314,1986.4,2332,3.00E+05,2.40E+05
G34463,P15S_10336,34463,10336,1,1,SFC,SPSG,-17.49867,5.2,26.722,35.434,202.8,0.46,0.005,0.01,0.16,0.008,0,0.003,0,0,0,0,0.001,0.001,0,0,0,0.005,0,0.002,0,0,0.033,0,0,0,0.021,0.013,0.003,0.033513339,0.013628483,0.9470174,1.077,339.1573167,2693.735457,6.020259866,23.84193234,7.942436516,,599.3972748,91.57091069,17.29905,32.32482548,4.748202434,SASW,SAMW,38,60,-170.000417,0.057,0.268,0.06,0.401,0.199,0,0,0,0,0.984,42509,0.394444444,2,0,-170.000417,38,5306,60.2,454,102.100.100/34671,FALSE,,,,,,539,0.336,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,270.5,0.22,34.4847,,,,,-23.84193234,1986.2,2331.1,,
G34464,P15S_10436,34464,10436,1,1,SFC,SPSG,-17.00137,6.1,26.57,35.447,202.6,0.45,0.005,0.01,0.16,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASW,SAMW,39,40,-169.993033,0,0.29,0.066,0.391,0.193,0,0,0,0,0.94,42509,0.670833333,2,0,-169.993033,39,5308,41.2,461,102.100.100/34678,FALSE,,,,,,540,-0.007,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,263,0.27,34.6168,,,,,,1985.9,2333.2,,
G34465,P15S_10536,34465,10536,1,1,SFC,SPSG,-16.50275,4.8,27.127,35.44,201.4,0.31,0.005,0.01,0.16,0.018,0,0.002,0.001,0,0,0,0.002,0.001,0,0,0,0.006,0,0.003,0,0,0.033,0,0,0,0.018,0.015,0.003,0.034821501,0.017190158,0.94062113,1.077,1182.090552,2782.460984,2.627801812,24.03521459,2.353847579,31.80190246,584.7190625,72.65880755,36.21766,33.38953181,16.54926773,SASW,SAMW,39,65,-169.993033,0,0.29,0.066,0.403,0.185,0,0,0,0,0.943,42509,0.670833333,2,0,-169.993033,39,5308,65.4,460,102.100.100/34677,FALSE,,,,,,540,-0.01,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,263.2,0.33,34.6177,,,,,-24.03521459,1982.5,2332.4,3.40E+05,2.70E+05
G34466,P15S_10636,34466,10636,1,1,SFC,SPSG,-16.00165,5.1,27.443,35.268,200,0.41,0.005,0.001,0.15,0.019,0,0.003,0,0,0,0,0.002,0.002,0,0,0,0.005,0,0.001,0,0,0.04,0,0,0,0.017,0.017,0.003,0.073842963,0.0153484,0.904230751,1.085,356.308816,3333.82344,5.562817754,23.841497,9.356556138,115.7185176,708.9886926,94.21114344,16.59844,40.00588127,4.988323424,SASW,SAMW,39,6.5,-169.99103,0.052,0.29,0.066,0.374,0.204,0,0,0,0,0.987,42509,0.830555556,2,0,-169.99103,39,5308,6.5,184,102.100.100/34401,FALSE,,,,,,540,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,263,0.4,34.6177,0.234,,,,-23.841497,1973.7,2320.8,,
G34467,P15S_10736,34467,10736,1,1,SFC,SPSG,-15.49643,5,27.826,35.056,199.3,0.41,0.005,0.01,0.17,0.102,0,0.004,0,0,0,0,0.003,0.002,0,0,0,0.007,0,0.002,0,0,0.05,0,0,0,0.026,0.023,0.007,0.039132651,0.019459871,0.933067533,1.115,366.3088595,3221.044536,5.600477611,23.50084087,8.793247698,70.21189141,1607.681821,105.3937579,17.89234,38.65253443,5.128324034,SAMW,PEW,40,34.5,-169.989033,0,0.418,0.061,0.522,0,0,0,0,0,1.001,42509,0.986805556,2,0,-169.989033,40,5354,34.5,617,102.100.100/37071,TRUE,SAMN08218868,marine metagenome,408172,102.100.100/37071_34,PRJ385736,542,-0.005,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.4,0.63,34.6196,,,,,-23.50084087,1965,2306.1,,
G34468,P15S_10836,34468,10836,1,1,SFC,SPSG,-15.0027,4.6,28.093,35.001,197.7,0.65,0.005,0.001,0.17,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,PEW,40,50.7,-169.989033,0,0.407,0.069,0.525,0,0,0,0,0,1.001,42509,0.986805556,2,0,-169.989033,40,5354,50.7,616,102.100.100/37070,TRUE,SAMN08218867,marine metagenome,408172,102.100.100/37070_50,PRJ385736,542,-0.007,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.6,0.55,34.6197,,,,,,1959.6,2302.3,,
G34469,P15S_10936,34469,10936,1,1,SFC,SPSG,-14.66448,5.6,28.405,34.979,197,0.41,0.005,0.001,0.18,0.022,0.002,0.004,0.002,0,0,0,0.002,0.002,0,0,0,0.008,0,0.004,0,0,0.053,0,0.005,0.005,0.048,0.028,0.009,0.040774535,0.095834391,0.857955664,1.167,347.7344191,3132.820708,6.189502526,23.24357762,9.009233873,75.19273515,1103.97541,150.9907849,85.01187,37.59384849,4.868281868,SASW,SAMW,40,5.1,-169.98377,0,0.439,0,0.515,0,0,0,0,0,0.954,42509,0.152777778,2,0,-169.98377,40,5354,5.1,185,102.100.100/34402,FALSE,,,,,,542,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.5,0.53,34.62,0.2945,,,,-23.24357762,1956.4,2300.2,,
G34470,P15S_11036,34470,11036,1,1,SFC,SPSG,-14.27988,5,28.664,34.977,197.2,0.42,0.005,0.01,0.18,0.019,0.003,0.004,0.001,0,0,0,0.003,0.003,0,0,0,0.008,0,0.003,0,0,0.058,0,0,0,0.031,0.024,0.006,0.057710002,0.015100919,0.920717256,1.138,541.4230598,4136.061011,7.329555565,23.64130601,7.639240584,83.17870369,537.3799862,155.8880025,8.71261,49.63273214,7.579922837,SASW,SAMW,41,4.4,-170.4692,0.057,0.297,0.071,0.29,0.271,0,0,0,0,0.986,42510,0.45,2,0,-170.4692,41,5404,4.4,186,102.100.100/34403,FALSE,,,,,,546,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,263.9,0.84,34.6693,0.274,,,,-23.64130601,1956.6,2300.2,,
G34471,P15S_11136,34471,11136,1,1,SFC,SPSG,-13.9691,4.8,28.728,34.94,190.4,0.32,0.005,0.001,0.17,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,PEW,41,35.2,-170.468833,0,0.307,0.071,0.352,0.215,0,0,0,0,0.945,42510,0.395833333,2,0,-170.468833,41,5404,35.2,623,102.100.100/37077,TRUE,SAMN08218874,marine metagenome,408172,102.100.100/37077_35,PRJ385736,546,0.066,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,263.9,1.36,34.6668,,,,,,1953.6,2298.3,,
G37488,P15S_11236,37488,11236,1,1,SFC,SPSG,-13.8176,6,28.819,35.02,189.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,PEW,41,59.8,-170.468833,0,0.315,0.072,0.401,0.17,0,0,0,0,0.958,42510,0.395833333,2,0,-170.468833,41,5404,59.8,622,102.100.100/37076,TRUE,SAMN08218873,marine metagenome,408172,102.100.100/37076_59,PRJ385736,546,0.063,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,263.9,0.86,34.6702,,,,,,,,,
G34472,P15S_11336,34472,11336,1,1,SFC,SPSG,-13.50338,5.9,28.995,34.976,188.7,0.25,0.005,0.02,0.18,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,PEW,42,40.4,-170.911483,0,0.303,0.069,0.367,0.208,0,0,0,0,0.947,42510,0.582638889,2,0,-170.911483,42,5298,40.4,629,102.100.100/37083,TRUE,SAMN08218880,marine metagenome,408172,102.100.100/37083_40,PRJ385736,547,-0.017,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.9,0.74,34.6793,,,,,,1953.9,2300.8,,
G34473,P15S_11436,34473,11436,1,1,SFC,SPSG,-12.9974,5.7,29.278,34.873,189,0.29,0.005,0.01,0.15,0.031,0,0.004,0,0,0,0,0,0,0,0,0,0.007,0,0.002,0,0,0.051,0,0,0,0.028,0.014,0.005,0,0,1,1.112,366.3088595,2746.982911,7.770741648,22.87839731,7.499089469,157.7491471,871.5472673,74.90476152,134.68525,32.96379493,5.128324034,SAMW,PEW,42,64.2,-170.911483,0,0.316,0.072,0.402,0.169,0,0,0,0,0.958,42510,0.582638889,2,0,-170.911483,42,5298,64.2,628,102.100.100/37082,TRUE,SAMN08218879,marine metagenome,408172,102.100.100/37082_64,PRJ385736,547,-0.022,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.9,0.72,34.6802,,,,,-22.87839731,1946.5,2294.7,,
G34474,P15S_11536,34474,11536,1,1,SFC,SPSG,-12.49798,5,29.296,34.753,189.8,0.38,0.005,0.01,0.14,0.027,0,0.004,0,0,0,0,0,0,0,0,0,0.007,0,0.002,0,0,0.038,0,0,0,0.021,0.012,0.005,0,0,1,1.089,1075.243881,3132.820708,11.10662377,24.12629984,2.913590827,82.05210685,863.2185201,77.29281168,31.70054,37.59384849,15.05341433,SASW,SAMW,42,11.1,-170.91183,0.053,0.288,0.066,0.324,0.255,0,0,0,0,0.986,42510,0.751388889,2,0,-170.91183,42,5298,11.1,187,102.100.100/34404,FALSE,,,,,,547,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.9,0.73,34.6794,,,,,-24.12629984,1937.1,2286.2,3.60E+05,3.00E+05
G34475,P15S_11636,34475,11636,1,1,SFC,SPSG,-11.99465,5.9,29.334,34.682,189.3,0.46,0.005,0.01,0.14,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASW,SAMW,43,3.8,-171.37457,0,0.309,0,0.319,0.278,0,0,0,0,0.906,42511,0.215277778,2,0,-171.37457,43,5098,3.8,188,102.100.100/34405,FALSE,,,,,,549,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262.1,0.76,34.6752,0.2097,,,,,1932.9,2279.8,,
G34476,P15S_11736,34476,11736,1,1,SFC,SPSG,-11.4957,5.7,29.5,34.71,188.8,0.25,0.005,0.01,0.14,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMW,PEW,43,24.7,-171.373367,0,0.318,0.05,0.344,0.24,0,0,0,0,0.953,42511,0.204861111,2,0,-171.373367,43,5098,24.7,635,102.100.100/37089,TRUE,SAMN08218886,marine metagenome,408172,102.100.100/37089_24,PRJ385736,549,-0.004,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,262,0.24,34.6749,,,,,,1934.2,2283.5,,
